template_type	occupation	source_gender	source	gold	model	pipeline	target	GENDER_A0	GENDER_A1
8	pathologist	male	Tom is a poor pathologist.	Том - бідний патологоанатом.	opusmt	tagged	Том  поганий патолог.	male	male
9	pathologist	neutral	Jessie is a good pathologist.	Джессі - хороший патологоанатом.	opusmt	tagged	Джессі - добрий патолог.	male	male
10	pathologist	neutral	Jessie is a poor pathologist.	Джессі - бідний патологоанатом.	opusmt	tagged	Джессі  поганий патолог.	male	male
1	inspector	neutral	I used to work as a inspector.	Я працював інспектором.	opusmt	tagged	Я колись працював інспектором.	male	male
2	inspector	neutral	I am a poor inspector.	Я бідний інспектор.	opusmt	tagged	Я поганий інспектор.	male	male
3	inspector	neutral	I am a nice inspector.	Я хороший інспектор.	opusmt	tagged	Я чудовий інспектор.	male	male
4	inspector	neutral	The inspector called me today.	Інспектор зателефонував мені сьогодні.	opusmt	tagged	Ревізор зателефонував мені сьогодні.	male	male
5	inspector	female	Anne is a inspector.	Анна - інспекторка.	opusmt	tagged	Аня  інспектор.	male	male
6	inspector	female	Anne is an experienced inspector.	Анна - досвідчена інспекторка.	opusmt	tagged	Аня - досвідчений інспектор.	male	male
7	inspector	male	Tom is a inspector.	Том - інспектор.	opusmt	tagged	Том  інспектор.	male	male
8	inspector	male	Tom is a poor inspector.	Том - бідний інспектор.	opusmt	tagged	Том - поганий інспектор.	male	male
9	inspector	neutral	Jessie is a good inspector.	Джессі - хороший інспектор.	opusmt	tagged	Джессі добрий інспектор.	male	male
10	inspector	neutral	Jessie is a poor inspector.	Джессі - бідний інспектор.	opusmt	tagged	Джессі - поганий інспектор.	male	male
1	hygienist	neutral	I used to work as a hygienist.	Я працював гігієністом.	opusmt	tagged	Я колись працював гігієністом.	male	male
1	hygienist	neutral	I used to work as a hygienist.	Я працював гігієністом.	opusmt	tagged	Я колись працював гігієністом.	male	male
2	hygienist	neutral	I am a poor hygienist.	Я поганий гігієніст.	opusmt	tagged	Я поганий гігієніст.	male	male
2	hygienist	neutral	I am a poor hygienist.	Я поганий гігієніст.	opusmt	tagged	Я поганий гігієніст.	male	male
3	hygienist	neutral	I am a nice hygienist.	Я хороший гігієніст.	opusmt	tagged	Я добрий гігієніст.	male	male
3	hygienist	neutral	I am a nice hygienist.	Я хороший гігієніст.	opusmt	tagged	Я добрий гігієніст.	male	male
4	hygienist	neutral	The hygienist called me today.	Гігієніст зателефонував мені сьогодні.	opusmt	tagged	Гігієніст зателефонував мені сьогодні.	male	male
4	hygienist	neutral	The hygienist called me today.	Гігієніст зателефонував мені сьогодні.	opusmt	tagged	Гігієніст зателефонував мені сьогодні.	male	male
5	hygienist	female	Anne is a hygienist.	Анна - гігієністка.	opusmt	tagged	Аня  гигієнка.	female	female
5	hygienist	female	Anne is a hygienist.	Анна - гігієністка.	opusmt	tagged	Аня  гигієнка.	female	female
6	hygienist	female	Anne is an experienced hygienist.	Анна - досвідчена гігієністка.	opusmt	tagged	Аня - досвідчений гігієніст.	male	male
6	hygienist	female	Anne is an experienced hygienist.	Анна - досвідчена гігієністка.	opusmt	tagged	Аня - досвідчений гігієніст.	male	male
7	hygienist	male	Tom is a hygienist.	Том - гігієніст.	opusmt	tagged	Том  гигієніст.	male	male
7	hygienist	male	Tom is a hygienist.	Том - гігієніст.	opusmt	tagged	Том  гигієніст.	male	male
8	hygienist	male	Tom is a poor hygienist.	Том - бідний гігієніст.	opusmt	tagged	Том  поганий гігієніст.	male	male
8	hygienist	male	Tom is a poor hygienist.	Том - бідний гігієніст.	opusmt	tagged	Том  поганий гігієніст.	male	male
9	hygienist	neutral	Jessie is a good hygienist.	Джессі - хороший гігієніст.	opusmt	tagged	Джессі  добрий гігієніст.	male	male
9	hygienist	neutral	Jessie is a good hygienist.	Джессі - хороший гігієніст.	opusmt	tagged	Джессі  добрий гігієніст.	male	male
10	hygienist	neutral	Jessie is a poor hygienist.	Джессі - бідний гігієніст.	opusmt	tagged	Джессі - бідний гігієніст.	male	male
10	hygienist	neutral	Jessie is a poor hygienist.	Джессі - бідний гігієніст.	opusmt	tagged	Джессі - бідний гігієніст.	male	male
1	lawyer	neutral	I used to work as a lawyer.	Я працював адвокатом.	opusmt	tagged	Я колись працював адвокатом.	male	male
2	lawyer	neutral	I am a poor lawyer.	Я бідний адвокат.	opusmt	tagged	Я поганий адвокат.	male	male
3	lawyer	neutral	I am a nice lawyer.	Я хороший юрист.	opusmt	tagged	Я добрий адвокат.	male	male
4	lawyer	neutral	The lawyer called me today.	Адвокат зателефонував мені сьогодні.	opusmt	tagged	Адвокат зателефонував мені сьогодні.	male	male
5	lawyer	female	Anne is a lawyer.	Анна - адвокатка.	opusmt	tagged	Аня  адвокат.	male	male
6	lawyer	female	Anne is an experienced lawyer.	Анна - досвідчена адвокатка.	opusmt	tagged	Аня  досвідчений адвокат.	male	male
7	lawyer	male	Tom is a lawyer.	Том - адвокат.	opusmt	tagged	Том  адвокат.	male	male
8	lawyer	male	Tom is a poor lawyer.	Том - бідний адвокат.	opusmt	tagged	Том  поганий адвокат.	male	male
9	lawyer	neutral	Jessie is a good lawyer.	Джессі - хороший адвокат.	opusmt	tagged	Джессі - добрий адвокат.	male	male
10	lawyer	neutral	Jessie is a poor lawyer.	Джессі - бідний адвокат.	opusmt	tagged	Джессі - поганий адвокат.	male	male
1	broker	neutral	I used to work as a broker.	Я працював брокером.	opusmt	tagged	Я колись працював брокером.	male	male
2	broker	neutral	I am a poor broker.	Я бідний брокер.	opusmt	tagged	Я поганий брокер.	male	male
3	broker	neutral	I am a nice broker.	Я хороший брокер.	opusmt	tagged	Я чудовий брокер.	male	male
4	broker	neutral	The broker called me today.	Брокер зателефонував мені сьогодні.	opusmt	tagged	Мені сьогодні телефонував брокер.	male	male
5	broker	female	Anne is a broker.	Анна - брокерка.	opusmt	tagged	Анна  брокер.	male	male
6	broker	female	Anne is an experienced broker.	Анна - досвідчена брокерка.	opusmt	tagged	Анна  досвідчений брокер.	male	male
7	broker	male	Tom is a broker.	Том - брокер.	opusmt	tagged	Том брокер.	male	male
8	broker	male	Tom is a poor broker.	Том - бідний брокер.	opusmt	tagged	Том  бідний брокер.	male	male
9	broker	neutral	Jessie is a good broker.	Джессі - хороший брокер.	opusmt	tagged	Джессі добрий брокер.	male	male
10	broker	neutral	Jessie is a poor broker.	Джессі - бідний брокер.	opusmt	tagged	Джессі - бідний брокер.	male	male
1	salesperson	neutral	I used to work as a salesperson.	Я працював продавцем.	opusmt	tagged	Я колись працював продавцем.	male	male
2	salesperson	neutral	I am a poor salesperson.	Я бідний продавець.	opusmt	tagged	Я поганий продавець.	male	male
3	salesperson	neutral	I am a nice salesperson.	Я хороший продавець.	opusmt	tagged	Я чудовий продавець.	male	male
4	salesperson	neutral	The salesperson called me today.	Продавець зателефонував мені сьогодні.	opusmt	tagged	Мені сьогодні зателефонував продавець.	male	male
5	salesperson	female	Anne is a salesperson.	Анна - продавниця.	opusmt	tagged	Аня  продавець.	male	male
6	salesperson	female	Anne is an experienced salesperson.	Анна - досвідчена продавниця.	opusmt	tagged	Анна досвідчений продавець.	male	male
7	salesperson	male	Tom is a salesperson.	Том - продавець.	opusmt	tagged	Том  продавець.	male	male
8	salesperson	male	Tom is a poor salesperson.	Том - бідний продавець.	opusmt	tagged	Том  поганий продавець.	male	male
9	salesperson	neutral	Jessie is a good salesperson.	Джессі - хороший продавець.	opusmt	tagged	Джессі добрий продавець.	male	male
10	salesperson	neutral	Jessie is a poor salesperson.	Джессі - бідний продавець.	opusmt	tagged	Джессі  поганий продавець.	male	male
1	clerk	neutral	I used to work as a clerk.	Я працював клерком.	opusmt	tagged	Я колись працював службовцем.	male	male
2	clerk	neutral	I am a poor clerk.	Я бідний клерк.	opusmt	tagged	Я поганий службовець.	male	male
3	clerk	neutral	I am a nice clerk.	Я хороший клерк.	opusmt	tagged	Я чудовий службовець.	male	male
4	clerk	neutral	The clerk called me today.	Клерк зателефонував мені сьогодні.	opusmt	tagged	Сьогодні мені зателефонував службовець.	male	male
5	clerk	female	Anne is a clerk.	Анна - клеркиня.	opusmt	tagged	Аня  службовець.	male	male
6	clerk	female	Anne is an experienced clerk.	Анна - досвідчена клеркиня.	opusmt	tagged	Аня - досвідчений службовець.	male	male
7	clerk	male	Tom is a clerk.	Том - клерк.	opusmt	tagged	Том  службовець.	male	male
8	clerk	male	Tom is a poor clerk.	Том - бідний клерк.	opusmt	tagged	Том  поганий службовець.	male	male
9	clerk	neutral	Jessie is a good clerk.	Джессі - хороший клерк.	opusmt	tagged	Джессі добрий службовець.	male	male
10	clerk	neutral	Jessie is a poor clerk.	Джессі - бідний клерк.	opusmt	tagged	Джессі - поганий службовець.	male	male
1	nurse	neutral	I used to work as a nurse.	Я працював медбратом.	opusmt	tagged	Я колись працювала медсестрою.	female	female
2	nurse	neutral	I am a poor nurse.	Я бідний медбрат.	opusmt	tagged	Я бідна медсестра.	female	female
3	nurse	neutral	I am a nice nurse.	Я хороший медбрат.	opusmt	tagged	Я добра медсестра.	female	female
4	nurse	neutral	The nurse called me today.	Медбрат зателефонував мені сьогодні.	opusmt	tagged	Медсестра зателефонував мені сьогодні.	female	female
5	nurse	female	Anne is a nurse.	Анна - медсестра.	opusmt	tagged	Аня медсестра.	female	female
6	nurse	female	Anne is an experienced nurse.	Анна - досвідчена медсестра.	opusmt	tagged	Аня - досвідчений медсестра.	female	male
7	nurse	male	Tom is a nurse.	Том - медбрат.	opusmt	tagged	Том  медсестра.	female	female
8	nurse	male	Tom is a poor nurse.	Том - бідний медбрат.	opusmt	tagged	Том - бідна медсестра.	female	female
9	nurse	neutral	Jessie is a good nurse.	Джессі - хороший медбрат.	opusmt	tagged	Джессі - добра медсестра.	female	female
10	nurse	neutral	Jessie is a poor nurse.	Джессі - бідний медбрат.	opusmt	tagged	Джессі - бідна медсестра.	female	female
1	carpenter	neutral	I used to work as a carpenter.	Я працював столяром.	opusmt	tagged	Я колись працював теслярем.	male	male
2	carpenter	neutral	I am a poor carpenter.	Я бідний столяр.	opusmt	tagged	Я бідний тесляр.	male	male
3	carpenter	neutral	I am a nice carpenter.	Я хороший столяр.	opusmt	tagged	Я добрий тесляр.	male	male
4	carpenter	neutral	The carpenter called me today.	Столяр зателефонував мені сьогодні.	opusmt	tagged	Той тесляр зателефонував мені сьогодні.	male	male
5	carpenter	female	Anne is a carpenter.	Анна - столярка.	opusmt	tagged	Аня  тесляр.	male	male
6	carpenter	female	Anne is an experienced carpenter.	Анна - досвідчена столярка.	opusmt	tagged	Аня  досвідчений тесляр.	male	male
7	carpenter	male	Tom is a carpenter.	Том - столяр.	opusmt	tagged	Том  тесляр.	male	male
8	carpenter	male	Tom is a poor carpenter.	Том - бідний столяр.	opusmt	tagged	Том  бідний тесляр.	male	male
9	carpenter	neutral	Jessie is a good carpenter.	Джессі - хороший столяр.	opusmt	tagged	Джессі  добрий тесляр.	male	male
10	carpenter	neutral	Jessie is a poor carpenter.	Джессі - бідний столяр.	opusmt	tagged	Джессі  бідний тесляр.	male	male
1	officer	neutral	I used to work as a officer.	Я працював офіцером.	opusmt	tagged	Я колись працював офіцером.	male	male
2	officer	neutral	I am a poor officer.	Я бідний офіцер.	opusmt	tagged	Я бідний офіцер.	male	male
3	officer	neutral	I am a nice officer.	Я хороший офіцер.	opusmt	tagged	Я добрий офіцер.	male	male
4	officer	neutral	The officer called me today.	Офіцер зателефонував мені сьогодні.	opusmt	tagged	Поліцейський зателефонував мені сьогодні.	male	male
5	officer	female	Anne is a officer.	Анна - офіцерка.	opusmt	tagged	Аня офіцер.	male	male
6	officer	female	Anne is an experienced officer.	Анна - досвідчена офіцерка.	opusmt	tagged	Енн досвідчений офіцер.	male	male
7	officer	male	Tom is a officer.	Том - офіцер.	opusmt	tagged	Том офіцер.	male	male
8	officer	male	Tom is a poor officer.	Том - бідний офіцер.	opusmt	tagged	Том - бідний офіцер.	male	male
9	officer	neutral	Jessie is a good officer.	Джессі - хороший офіцер.	opusmt	tagged	Джессі добрий офіцер.	male	male
10	officer	neutral	Jessie is a poor officer.	Джессі - бідний офіцер.	opusmt	tagged	Джессі - бідний офіцер.	male	male
1	instructor	neutral	I used to work as a instructor.	Я працював інструктором.	opusmt	tagged	Я колись працював інструктором.	male	male
2	instructor	neutral	I am a poor instructor.	Я бідний інструктор.	opusmt	tagged	Я поганий інструктор.	male	male
3	instructor	neutral	I am a nice instructor.	Я хороший інструктор.	opusmt	tagged	Я чудовий інструктор.	male	male
4	instructor	neutral	The instructor called me today.	Інструктор зателефонував мені сьогодні.	opusmt	tagged	Інструктор зателефонував мені сьогодні.	male	male
5	instructor	female	Anne is a instructor.	Анна - інструкторка.	opusmt	tagged	Аня інструктор.	male	male
6	instructor	female	Anne is an experienced instructor.	Анна - досвідчена інструкторка.	opusmt	tagged	Енн досвідчений інструктор.	male	male
7	instructor	male	Tom is a instructor.	Том - інструктор.	opusmt	tagged	Том інструктор.	male	male
8	instructor	male	Tom is a poor instructor.	Том - бідний інструктор.	opusmt	tagged	Том  поганий інструктор.	male	male
9	instructor	neutral	Jessie is a good instructor.	Джессі - хороший інструктор.	opusmt	tagged	Джессі добрий інструктор.	male	male
10	instructor	neutral	Jessie is a poor instructor.	Джессі - поганий інструктор.	opusmt	tagged	Джессі - поганий інструктор.	male	male
1	machinist	neutral	I used to work as a machinist.	Я працював машиністом.	opusmt	tagged	Я колись працював механіком.	male	male
2	machinist	neutral	I am a poor machinist.	Я бідний машиніст.	opusmt	tagged	Я поганий механік.	male	male
3	machinist	neutral	I am a nice machinist.	Я хороший машиніст.	opusmt	tagged	Я чудовий механік.	male	male
4	machinist	neutral	The machinist called me today.	Машиніст зателефонував мені сьогодні.	opusmt	tagged	Мені сьогодні телефонував механік.	male	male
5	machinist	female	Anne is a machinist.	Анна - машиністка.	opusmt	tagged	Аня  мачіністка.	female	female
6	machinist	female	Anne is an experienced machinist.	Анна - досвідчена машиністка.	opusmt	tagged	Аня - досвідчений механік.	male	male
7	machinist	male	Tom is a machinist.	Том - машиніст.	opusmt	tagged	Том  механік.	male	male
8	machinist	male	Tom is a poor machinist.	Том - бідний машиніст.	opusmt	tagged	Том  бідолаха.	female	female
9	machinist	neutral	Jessie is a good machinist.	Джессі - хороший машиніст.	opusmt	tagged	Джессі  добрий механік.	male	male
10	machinist	neutral	Jessie is a poor machinist.	Джессі - бідний машиніст.	opusmt	tagged	Джессі  бідолаха.	female	female
1	librarian	neutral	I used to work as a librarian.	Я працював бібліотекарем.	opusmt	tagged	Я колись працював бібліотекарем.	male	male
2	librarian	neutral	I am a poor librarian.	Я бідний бібліотекар.	opusmt	tagged	Я поганий бібліотекар.	male	male
3	librarian	neutral	I am a nice librarian.	Я хороший бібліотекар.	opusmt	tagged	Я чудовий бібліотекар.	male	male
4	librarian	neutral	The librarian called me today.	Бібліотекар зателефонував мені сьогодні.	opusmt	tagged	Бібліотекар зателефонував мені сьогодні.	male	male
5	librarian	female	Anne is a librarian.	Анна - бібліотекарка.	opusmt	tagged	Аня  бібліотекар.	male	male
6	librarian	female	Anne is an experienced librarian.	Анна - досвідчена бібліотекарка.	opusmt	tagged	Аня - досвідчений бібліотекар.	male	male
7	librarian	male	Tom is a librarian.	Том - бібліотекар.	opusmt	tagged	Том  бібліотекар.	male	male
8	librarian	male	Tom is a poor librarian.	Том - бідний бібліотекар.	opusmt	tagged	Том  бідний бібліотекар.	male	male
9	librarian	neutral	Jessie is a good librarian.	Джессі - хороший бібліотекар.	opusmt	tagged	Джессі - добрий бібліотекар.	male	male
10	librarian	neutral	Jessie is a poor librarian.	Джессі - бідний бібліотекар.	opusmt	tagged	Джессі - бідний бібліотекар.	male	male
1	technician	neutral	I used to work as a technician.	Я працював техніком.	opusmt	tagged	Я колись працював механіком.	male	male
2	technician	neutral	I am a poor technician.	Я бідний технік.	opusmt	tagged	Я поганий інженер.	male	male
3	technician	neutral	I am a nice technician.	Я хороший технік.	opusmt	tagged	Я чудовий інженер.	male	male
4	technician	neutral	The technician called me today.	Технік зателефонував мені сьогодні.	opusmt	tagged	Сьогодні мені зателефонував механік.	male	male
5	technician	female	Anne is a technician.	Анна - технікиня.	opusmt	tagged	Аня  фельдшер.	male	male
6	technician	female	Anne is an experienced technician.	Анна - досвідчена технікиня.	opusmt	tagged	Аня - досвідчений інженер.	male	male
7	technician	male	Tom is a technician.	Том - технік.	opusmt	tagged	Том  інженер.	male	male
8	technician	male	Tom is a poor technician.	Том - бідний технік.	opusmt	tagged	Том - поганий інженер.	male	male
9	technician	neutral	Jessie is a good technician.	Джессі - хороший технік.	opusmt	tagged	Джессі - добрий інженер.	male	male
10	technician	neutral	Jessie is a poor technician.	Джессі - бідний технік.	opusmt	tagged	Джессі - поганий інженер.	male	male
1	baker	neutral	I used to work as a baker.	Я працював пекарем.	opusmt	tagged	Я колись працював пекарем.	male	male
2	baker	neutral	I am a poor baker.	Я бідний пекар.	opusmt	tagged	Я бідний пекар.	male	male
3	baker	neutral	I am a nice baker.	Я хороший пекар.	opusmt	tagged	Я чудовий пекар.	male	male
4	baker	neutral	The baker called me today.	Пекар зателефонував мені сьогодні.	opusmt	tagged	Пекар зателефонував мені сьогодні.	male	male
5	baker	female	Anne is a baker.	Анна - пекарка.	opusmt	tagged	Аня - пекар.	male	male
6	baker	female	Anne is an experienced baker.	Анна - досвідчена пекарка.	opusmt	tagged	Аня - досвідчений пекар.	male	male
7	baker	male	Tom is a baker.	Том - пекар.	opusmt	tagged	Том пекар.	male	male
8	baker	male	Tom is a poor baker.	Том - бідний пекар.	opusmt	tagged	Том - бідний пекар.	male	male
9	baker	neutral	Jessie is a good baker.	Джессі - хороший пекар.	opusmt	tagged	Джессі добрий пекар.	male	male
10	baker	neutral	Jessie is a poor baker.	Джессі - бідний пекар.	opusmt	tagged	Джессі - бідний пекар.	male	male
1	paralegal	neutral	I used to work as a paralegal.	Я працював помічником юриста.	opusmt	tagged	Я колись працював адвокатом.	male	male
2	paralegal	neutral	I am a poor paralegal.	Я бідний помічник юриста.	opusmt	tagged	Я поганий адвокат.	male	male
3	paralegal	neutral	I am a nice paralegal.	Я хороший помічник юриста.	opusmt	tagged	Я гарний адвокат.	male	male
4	paralegal	neutral	The paralegal called me today.	Помічником юриста зателефонував мені сьогодні.	opusmt	tagged	Мені сьогодні зателефонував ассистент.	male	male
5	paralegal	female	Anne is a paralegal.	Анна - помічниця юриста.	opusmt	tagged	Аня  ассистентка.	female	female
6	paralegal	female	Anne is an experienced paralegal.	Анна - досвідчена помічниця юриста.	opusmt	tagged	Аня  досвідчений адвокат.	male	male
7	paralegal	male	Tom is a paralegal.	Том - помічник юриста.	opusmt	tagged	Том - адвокат.	male	male
8	paralegal	male	Tom is a poor paralegal.	Том - бідний помічник юриста.	opusmt	tagged	Том  поганий адвокат.	male	male
9	paralegal	neutral	Jessie is a good paralegal.	Джессі - хороший помічник юриста.	opusmt	tagged	Джессі добрий адвокат.	male	male
10	paralegal	neutral	Jessie is a poor paralegal.	Джессі - бідний помічник юриста.	opusmt	tagged	Джессі - поганий адвокат.	male	male
1	specialist	neutral	I used to work as a specialist.	Я працював спеціалістом.	opusmt	tagged	Я колись працював спеціалістом.	male	male
2	specialist	neutral	I am a poor specialist.	Я бідний спеціаліст.	opusmt	tagged	Я поганий спеціаліст.	male	male
3	specialist	neutral	I am a nice specialist.	Я хороший спеціаліст.	opusmt	tagged	Я добрий спеціаліст.	male	male
4	specialist	neutral	The specialist called me today.	Спеціаліст зателефонував мені сьогодні.	opusmt	tagged	Лікар зателефонував мені сьогодні.	male	male
5	specialist	female	Anne is a specialist.	Анна - спеціалістка.	opusmt	tagged	Аня  спеціаліст.	male	male
6	specialist	female	Anne is an experienced specialist.	Анна - досвідчена спеціалістка.	opusmt	tagged	Енн досвідчений спеціаліст.	male	male
7	specialist	male	Tom is a specialist.	Том - спеціаліст.	opusmt	tagged	Том  спеціаліст.	male	male
8	specialist	male	Tom is a poor specialist.	Том - бідний спеціаліст.	opusmt	tagged	Том - поганий спеціаліст.	male	male
9	specialist	neutral	Jessie is a good specialist.	Джессі - хороший спеціаліст.	opusmt	tagged	Джессі добрий спеціаліст.	male	male
10	specialist	neutral	Jessie is a poor specialist.	Джессі - бідний спеціаліст.	opusmt	tagged	Джессі - поганий спеціаліст.	male	male
1	programmer	neutral	I used to work as a programmer.	Я працював програмістом.	opusmt	tagged	Я колись працював програмістом.	male	male
2	programmer	neutral	I am a poor programmer.	Я бідний програміст.	opusmt	tagged	Я поганий програміст.	male	male
3	programmer	neutral	I am a nice programmer.	Я хороший програміст.	opusmt	tagged	Я чудовий програміст.	male	male
4	programmer	neutral	The programmer called me today.	Програміст зателефонував мені сьогодні.	opusmt	tagged	Мені сьогодні телефонував програміст.	male	male
5	programmer	female	Anne is a programmer.	Анна - програмістка.	opusmt	tagged	Аня  програміст.	male	male
6	programmer	female	Anne is an experienced programmer.	Анна - досвідчена програмістка.	opusmt	tagged	Енн досвідчений програміст.	male	male
7	programmer	male	Tom is a programmer.	Том - програміст.	opusmt	tagged	Том  програміст.	male	male
8	programmer	male	Tom is a poor programmer.	Том - бідний програміст.	opusmt	tagged	Том  бідний програміст.	male	male
9	programmer	neutral	Jessie is a good programmer.	Джессі - хороший програміст.	opusmt	tagged	Джессі добрий програміст.	male	male
10	programmer	neutral	Jessie is a poor programmer.	Джессі - бідний програміст.	opusmt	tagged	Джессі - бідний програміст.	male	male
1	educator	neutral	I used to work as a educator.	Я працював педагогом.	opusmt	tagged	Я колись працював вчителем.	male	male
2	educator	neutral	I am a poor educator.	Я бідний педагог.	opusmt	tagged	Я поганий викладач.	male	male
3	educator	neutral	I am a nice educator.	Я хороший педагог.	opusmt	tagged	Я чудовий викладач.	male	male
4	educator	neutral	The educator called me today.	Педагог зателефонував мені сьогодні.	opusmt	tagged	Учитель зателефонував мені сьогодні.	male	male
5	educator	female	Anne is a educator.	Анна - педагогиня.	opusmt	tagged	Аня  викладач.	male	male
6	educator	female	Anne is an experienced educator.	Анна - досвідчена педагогиня.	opusmt	tagged	Аня - досвідчений викладач.	male	male
7	educator	male	Tom is a educator.	Том - педагог.	opusmt	tagged	Том  викладач.	male	male
8	educator	male	Tom is a poor educator.	Том - бідний педагог.	opusmt	tagged	Том  поганий викладач.	male	male
9	educator	neutral	Jessie is a good educator.	Джессі - хороший педагог.	opusmt	tagged	Джессі добрий викладач.	male	male
10	educator	neutral	Jessie is a poor educator.	Джессі - бідний педагог.	opusmt	tagged	Джессі - поганий викладач.	male	male
1	cleaner	neutral	I used to work as a cleaner.	Я працював прибиральником.	opusmt	tagged	Я колись працював прибиральником.	male	male
2	cleaner	neutral	I am a poor cleaner.	Я бідний прибиральник.	opusmt	tagged	Я поганий прибиральник.	male	male
3	cleaner	neutral	I am a nice cleaner.	Я хороший прибиральник.	opusmt	tagged	Я чудовий прибиральник.	male	male
4	cleaner	neutral	The cleaner called me today.	Прибиральник зателефонував мені сьогодні.	opusmt	tagged	Сьогодні зателефонував мені прибиральниця.	female	female
5	cleaner	female	Anne is a cleaner.	Анна - прибиральниця.	opusmt	tagged	Аня прибиральниця.	female	female
6	cleaner	female	Anne is an experienced cleaner.	Анна - досвідчена прибиральниця.	opusmt	tagged	Аня - досвідчений чистильник.	male	male
7	cleaner	male	Tom is a cleaner.	Том - прибиральник.	opusmt	tagged	Том прибиральниця.	female	female
8	cleaner	male	Tom is a poor cleaner.	Том - бідний прибиральник.	opusmt	tagged	Том  бідолаха.	female	female
9	cleaner	neutral	Jessie is a good cleaner.	Джессі - хороший прибиральник.	opusmt	tagged	Джессі добре прибиральниця.	female	female
10	cleaner	neutral	Jessie is a poor cleaner.	Джессі - бідний прибиральник.	opusmt	tagged	Джессі - бідолаха.	female	female
1	babysitter	neutral	I used to work as a babysitter.	Я працював доглядачем.	opusmt	tagged	Я колись працювала нянею.	female	female
2	babysitter	neutral	I am a poor babysitter.	Я бідний доглядач.	opusmt	tagged	Я бідна няня.	female	female
3	babysitter	neutral	I am a nice babysitter.	Я хороший доглядач.	opusmt	tagged	Я добра няня.	female	female
4	babysitter	neutral	The babysitter called me today.	Доглядач зателефонував мені сьогодні.	opusmt	tagged	Мені сьогодні зателефонувала няня.	female	female
5	babysitter	female	Anne is a babysitter.	Анна - доглядачка.	opusmt	tagged	Аня няня.	female	female
6	babysitter	female	Anne is an experienced babysitter.	Анна - досвідчена доглядачка.	opusmt	tagged	Енн досвідчений няня.	female	female
7	babysitter	male	Tom is a babysitter.	Том - доглядач.	opusmt	tagged	Том  няня.	female	female
8	babysitter	male	Tom is a poor babysitter.	Том - бідний доглядач.	opusmt	tagged	Том  бідна няня.	female	female
9	babysitter	neutral	Jessie is a good babysitter.	Джессі - хороший доглядач.	opusmt	tagged	Джессі - добра нянька.	female	female
10	babysitter	neutral	Jessie is a poor babysitter.	Джессі - бідний доглядач.	opusmt	tagged	Джессі - бідна няня.	female	female
1	housekeeper	neutral	I used to work as a housekeeper.	Я працював домогосподарем.	opusmt	tagged	Я колись працювала покоївкою.	female	female
2	housekeeper	neutral	I am a poor housekeeper.	Я бідний домогосподар.	opusmt	tagged	Я бідна покоївка.	female	female
3	housekeeper	neutral	I am a nice housekeeper.	Я хороший домогосподар.	opusmt	tagged	Я добра економка.	female	female
4	housekeeper	neutral	The housekeeper called me today.	Домогосподар зателефонував мені сьогодні.	opusmt	tagged	Мені сьогодні телефонувала покоївка.	female	female
5	housekeeper	female	Anne is a housekeeper.	Анна - домогосподарка.	opusmt	tagged	Аня  покоївка.	female	female
6	housekeeper	female	Anne is an experienced housekeeper.	Анна - досвідчена домогосподарка.	opusmt	tagged	Аня - досвідчена покоївка.	female	female
7	housekeeper	male	Tom is a housekeeper.	Том - домогосподар.	opusmt	tagged	Том  покоївка.	female	female
8	housekeeper	male	Tom is a poor housekeeper.	Том - бідний домогосподар.	opusmt	tagged	Том  бідна покоївка.	female	female
9	housekeeper	neutral	Jessie is a good housekeeper.	Джессі - хороший домогосподар.	opusmt	tagged	Джессі  добра покоївка.	female	female
10	housekeeper	neutral	Jessie is a poor housekeeper.	Джессі - бідний домогосподар.	opusmt	tagged	Джессі - бідна покоївка.	female	female
1	florist	neutral	I used to work as a florist.	Я працював флористом.	opusmt	tagged	Я колись працював флористом.	male	male
2	florist	neutral	I am a poor florist.	Я бідний флорист.	opusmt	tagged	Я бідолаха.	female	female
3	florist	neutral	I am a nice florist.	Я хороший флорист.	opusmt	tagged	Я добрий флоролог.	male	male
4	florist	neutral	The florist called me today.	Флорист зателефонував мені сьогодні.	opusmt	tagged	Флорист зателефонував мені сьогодні.	male	male
5	florist	female	Anne is a florist.	Анна - флористка.	opusmt	tagged	Анна  флоролог.	male	male
6	florist	female	Anne is an experienced florist.	Анна - досвідчена флористка.	opusmt	tagged	Аня  досвідчений флоролог.	male	male
7	florist	male	Tom is a florist.	Том - флорист.	opusmt	tagged	Том  флорист.	male	male
8	florist	male	Tom is a poor florist.	Том - бідний флорист.	opusmt	tagged	Том  бідний флорист.	male	male
9	florist	neutral	Jessie is a good florist.	Джессі - хороший флорист.	opusmt	tagged	Джессі  добрий флорист.	male	male
10	florist	neutral	Jessie is a poor florist.	Джессі - бідний флорист.	opusmt	tagged	Джессі  бідолаха.	female	female
1	beautician	neutral	I used to work as a beautician.	Я працював косметологом.	opusmt	tagged	Я колись працював природознавцем.	male	male
2	beautician	neutral	I am a poor beautician.	Я бідний косметолог.	opusmt	tagged	Я бідолаха красномовець.	male	male
3	beautician	neutral	I am a nice beautician.	Я хороший косметолог.	opusmt	tagged	Я гарний косметолог.	male	male
4	beautician	neutral	The beautician called me today.	Косметолог зателефонував мені сьогодні.	opusmt	tagged	Мене сьогодні покликав косметолог.	male	male
