id	template_type	occupation	source_gender	source	gold
789	9	pediatrician	neutral	Jessie is a good pediatrician.	Джессі - хороший педіатр.
790	10	pediatrician	neutral	Jessie is a poor pediatrician.	Джессі - бідний педіатр.
791	1	dermatologist	neutral	I used to work as a dermatologist.	Я працював дерматологом.
792	2	dermatologist	neutral	I am a poor dermatologist.	Я бідний дерматолог.
793	3	dermatologist	neutral	I am a nice dermatologist.	Я хороший дерматолог.
794	4	dermatologist	neutral	The dermatologist called me today.	Дерматолог зателефонував мені сьогодні.
795	5	dermatologist	female	Anne is a dermatologist.	Анна - дерматологиня.
796	6	dermatologist	female	Anne is an experienced dermatologist.	Анна - досвідчена дерматологиня.
797	7	dermatologist	male	Tom is a dermatologist.	Том - дерматолог.
798	8	dermatologist	male	Tom is a poor dermatologist.	Том - бідний дерматолог.
799	9	dermatologist	neutral	Jessie is a good dermatologist.	Джессі - хороший дерматолог.
800	10	dermatologist	neutral	Jessie is a poor dermatologist.	Джессі - бідний дерматолог.
801	1	cook	neutral	I used to work as a cook.	Я працював кухарем.
802	2	cook	neutral	I am a poor cook.	Я бідний кухар.
803	3	cook	neutral	I am a nice cook.	Я хороший кухар.
804	4	cook	neutral	The cook called me today.	Кухар зателефонував мені сьогодні.
805	5	cook	female	Anne is a cook.	Анна - кухарка.
806	6	cook	female	Anne is an experienced cook.	Анна - досвідчена кухарка.
807	7	cook	male	Tom is a cook.	Том - кухар.
808	8	cook	male	Tom is a poor cook.	Том - бідний кухар.
809	9	cook	neutral	Jessie is a good cook.	Джессі - хороший кухар.
810	10	cook	neutral	Jessie is a poor cook.	Джессі - бідний кухар.
